PEOE_VSA11,PEOE_VSA3,PEOE_VSA5,SMR_VSA10,TPSA,Value
0.0,14.762494,0.0,28.569765,109.87,7.43
11.499023,14.358372,12.407033,50.74515,59.51,7.52
0.0,9.9679575,0.0,11.635726,55.63,7.72
5.647177,9.499376,0.0,5.647177,51.89,7.49
5.647177,14.762494,0.0,28.830717,130.52,5.52
5.760247,4.9839787,0.0,11.702045,61.85,4.84
0.0,13.139892,0.0,27.53141,63.24,4.82
15.597501,13.401775,0.0,33.14024,81.43,5.12
15.597501,13.401775,0.0,33.14024,81.43,7.3
0.0,13.139892,0.0,62.334232,63.24,6.34
11.499023,19.152908,0.0,57.709293,135.73,5.72
15.597501,13.401775,0.0,21.539299,94.32,4.82
15.597501,13.401775,0.0,27.446478,124.52,6.68
5.817863,28.55484,0.0,34.709755,122.12,7.72
11.499023,14.358372,0.0,38.33812,59.51,7.22
5.817863,23.760303,10.197364,22.929129,119.47,7.77
5.817863,23.760303,10.197364,22.929129,119.47,7.04
0.0,13.139892,0.0,39.13235,63.24,6.46
0.0,13.139892,0.0,43.461353,63.24,6.21
5.817863,28.744282,0.0,22.929129,106.58,8.96
11.499023,19.040174,5.098682,38.33812,86.98,7.3
0.0,13.139892,0.0,39.13235,63.24,6.12
0.0,14.762494,0.0,28.569765,103.88,7.14
5.817863,23.760303,10.197364,22.929129,119.47,8.4
11.499023,14.358372,12.407033,46.416145,68.3,7.22
0.0,13.139892,0.0,33.218796,106.38,4.96
15.597501,18.385754,0.0,21.539299,99.25,6.77
5.760247,13.401775,0.0,21.725336,84.67,5.88
15.597501,17.79219,0.0,21.539299,81.43,6.46
15.597501,13.401775,11.336786,32.876083,81.43,6.59
5.817863,23.760303,10.197364,22.929129,119.47,8.74
5.647177,9.499376,0.0,5.647177,64.78,7.51
11.499023,14.358372,0.0,38.33812,59.51,7.22
0.0,13.139892,0.0,39.13235,63.24,6.68
0.0,17.93443,0.0,45.101654,89.54,5.92
5.647177,9.499376,0.0,5.647177,55.97,6.21
0.0,13.139892,0.0,55.062294,63.24,6.62
0.0,9.9679575,0.0,11.635726,74.09,7.66
15.597501,13.401775,0.0,21.539299,81.43,5.71
0.0,9.9679575,0.0,11.635726,64.86,7.06
0.0,14.762494,0.0,28.569765,117.63,7.33
5.647177,9.499376,0.0,16.983963,39.42,6.41
15.597501,13.401775,0.0,21.539299,94.32,6.43
5.817863,9.499376,0.0,17.02195,62.45,3.32
11.499023,14.358372,0.0,34.009113,68.74,7.3
11.499023,14.358372,0.0,34.009113,56.27,6.0
0.0,9.9679575,0.0,34.39417,81.07,8.7
0.0,14.762494,0.0,28.569765,109.87,7.04
0.0,0.0,0.0,22.239712,24.3,6.48
0.0,17.530308,0.0,43.461353,63.24,5.34
11.499023,14.358372,0.0,34.009113,62.75,7.0
23.133465,23.43059,5.098682,38.33812,86.98,7.7
0.0,14.762494,0.0,28.569765,117.63,7.33
5.817863,9.499376,0.0,17.02195,62.45,3.51
15.597501,13.401775,0.0,21.539299,90.66,5.78
11.499023,19.040174,5.098682,34.009113,86.98,7.4
5.817863,23.760303,10.197364,22.929129,119.47,8.12
15.597501,13.401775,0.0,21.539299,90.66,5.49
5.817863,9.499376,0.0,17.02195,62.45,3.67
34.767906,36.71457,0.0,75.21104,242.69,4.39
21.380745,13.401775,0.0,27.322542,98.5,4.86
0.0,14.762494,0.0,28.569765,100.64,6.55
5.647177,9.499376,0.0,16.983963,51.89,7.66
0.0,13.139892,0.0,50.73329,63.24,4.74
0.0,0.0,0.0,22.239712,21.06,6.59
15.597501,13.401775,0.0,21.539299,94.32,6.02
5.760247,4.9839787,0.0,11.702045,38.06,5.77
5.647177,9.499376,0.0,16.983963,43.08,6.9
0.0,13.139892,0.0,50.73329,63.24,6.44
5.783245,13.139892,0.0,44.915596,80.31,6.25
15.597501,13.401775,0.0,21.539299,105.22,5.79
0.0,4.9839787,0.0,28.793575,82.96,8.3
5.8244047,9.9679575,0.0,22.669127,80.65,7.7
0.0,13.139892,0.0,59.3913,63.24,6.6
5.817863,0.0,5.098682,33.87864,50.7,7.0
11.499023,14.358372,0.0,39.6965,72.4,6.7
5.647177,14.762494,0.0,28.830717,113.53,6.72
5.817863,23.760303,10.197364,22.929129,119.47,8.44
5.647177,9.499376,0.0,5.647177,52.31,6.82
0.0,13.139892,0.0,39.13235,63.24,6.01
0.0,13.139892,0.0,50.73329,63.24,5.23
11.499023,9.9679575,6.42335,22.408175,74.73,6.6
0.0,13.139892,0.0,55.062294,63.24,6.6
5.760247,18.540749,0.0,21.725336,98.22,5.33
5.817863,28.55484,0.0,34.709755,128.11,7.34
0.0,13.139892,0.0,39.13235,63.24,5.85
5.817863,23.760303,10.197364,22.929129,119.47,7.6
0.0,13.139892,0.0,33.218796,66.48,4.8
0.0,9.9679575,0.0,11.635726,55.63,7.59
0.0,13.139892,0.0,39.13235,63.24,6.2
11.499023,14.358372,0.0,34.009113,59.51,7.1
15.597501,13.401775,0.0,21.539299,81.43,6.96
5.647177,19.277893,5.098682,34.086464,108.0,6.7
5.8244047,9.9679575,0.0,22.669127,80.65,7.52
0.0,14.762494,0.0,28.569765,117.63,7.39
15.597501,13.401775,0.0,21.539299,72.2,4.99
0.0,13.139892,0.0,50.73329,63.24,6.77
5.647177,9.499376,0.0,5.647177,58.67,7.1
11.499023,14.358372,12.407033,46.416145,79.74,8.52
0.0,13.139892,0.0,44.819736,89.26,5.49
5.647177,9.499376,0.0,16.983963,42.66,7.64
5.817863,9.499376,0.0,17.02195,62.45,4.01
0.0,13.139892,0.0,39.13235,63.24,6.28
0.0,4.9839787,0.0,22.56381,75.36,6.49
11.499023,14.358372,0.0,22.408175,59.51,7.19
11.499023,14.358372,0.0,34.009113,65.5,7.4
0.0,13.139892,0.0,39.13235,72.47,6.04
0.0,13.139892,0.0,50.73329,63.24,6.36
0.0,13.139892,0.0,70.99224,63.24,6.04
5.647177,19.277893,5.098682,34.086464,84.21,5.4
0.0,4.9839787,0.0,28.356514,49.22,7.0
0.0,14.762494,0.0,28.569765,109.87,7.09
15.597501,13.401775,0.0,33.14024,81.43,6.19
0.0,13.139892,0.0,39.13235,63.24,5.89
11.499023,14.358372,0.0,34.009113,59.51,7.15
23.133465,18.748787,0.0,34.009113,59.51,7.22
5.647177,14.762494,0.0,28.830717,116.77,6.66
0.0,17.530308,0.0,39.13235,63.24,6.39
0.0,13.139892,0.0,44.819736,106.38,6.04
23.133465,18.748787,0.0,38.33812,68.3,7.15
0.0,14.762494,0.0,28.569765,100.64,6.72
0.0,14.762494,0.0,28.569765,100.64,6.28
5.817863,32.1781,10.197364,32.766384,153.61,7.57
0.0,13.139892,0.0,38.906185,149.52,4.89
11.499023,13.139892,0.0,39.13235,81.7,5.41
5.817863,28.55484,0.0,34.709755,118.88,7.51
0.0,13.139892,0.0,62.334232,63.24,5.85
5.817863,36.972637,0.0,44.54701,153.02,7.0
0.0,13.139892,0.0,39.13235,63.24,4.85
5.760247,4.9839787,12.407033,24.109077,47.29,5.49
0.0,0.0,0.0,22.239712,30.29,5.85
0.0,13.139892,0.0,50.73329,63.24,4.85
5.817863,23.760303,10.197364,22.929129,119.47,8.68
11.642267,28.744282,0.0,22.929129,122.12,7.3
11.499023,14.358372,12.407033,46.416145,59.51,7.4
0.0,4.9839787,0.0,28.576307,81.07,8.3
0.0,13.139892,0.0,55.062294,63.24,6.7
5.760247,4.9839787,0.0,11.702045,38.06,5.52
0.0,13.139892,0.0,55.062294,63.24,6.62
5.817863,23.760303,10.197364,22.929129,119.47,7.46
5.647177,9.499376,0.0,16.983963,58.67,7.7
23.133465,18.748787,0.0,38.33812,59.51,7.0
15.597501,17.79219,0.0,21.539299,81.43,6.52
5.817863,23.760303,10.197364,22.929129,119.47,7.74
5.711685,13.843589,0.0,33.23672,140.96,6.56
5.647177,9.499376,0.0,16.983963,42.66,7.74
0.0,13.139892,0.0,39.13235,63.24,4.85
17.259272,4.9839787,12.407033,24.109077,56.52,5.95
15.597501,13.401775,0.0,21.539299,81.43,6.54
5.8244047,9.9679575,0.0,22.669127,80.65,7.15
5.647177,9.499376,0.0,5.647177,55.43,7.15
0.0,9.9679575,0.0,17.542906,79.18,6.4
11.499023,14.358372,0.0,34.009113,85.73,8.4
0.0,13.139892,0.0,44.819736,106.38,4.8
0.0,13.139892,0.0,39.13235,72.47,6.46
0.0,9.9679575,0.0,11.635726,55.63,6.82
11.499023,14.358372,0.0,22.408175,83.3,6.3
11.499023,14.358372,12.407033,50.74515,62.75,7.52
11.499023,14.358372,0.0,34.009113,68.74,6.52
16.98673,14.366798,0.0,32.520256,62.74,6.67
5.647177,19.277893,5.098682,34.086464,84.21,6.6
5.760247,4.9839787,0.0,11.702045,56.52,5.77
34.767906,31.920033,0.0,45.60368,143.36,5.49
5.647177,9.499376,0.0,5.647177,55.55,7.54
15.597501,13.401775,0.0,33.14024,81.43,6.03
0.0,13.139892,0.0,27.53141,63.24,4.66
5.817863,28.55484,0.0,34.709755,122.12,7.21
11.499023,14.358372,0.0,22.408175,68.3,6.6
0.0,14.762494,0.0,28.569765,103.88,6.06
23.133465,18.748787,0.0,34.009113,68.3,7.0
0.0,13.139892,0.0,39.13235,63.24,5.2
11.499023,14.358372,0.0,38.33812,59.51,7.4
